,0,1
417,1715644800,18559.0
418,1715731200,18267.0
419,1715817600,19881.0
420,1715904000,16539.0
421,1715990400,18605.0
422,1716076800,17497.0
423,1716163200,18679.0
424,1716249600,23482.0
425,1716336000,26609.0
426,1716422400,22380.0
427,1716508800,23431.0
428,1716595200,18685.0
429,1716681600,17075.0
430,1716768000,15430.0
431,1716854400,20806.0
432,1716940800,19663.0
433,1717027200,21567.0
434,1717113600,20945.0
435,1717200000,16917.0
436,1717286400,14576.0
437,1717372800,17214.0
438,1717459200,17638.0
439,1717545600,17079.0
440,1717632000,7156.0
441,1717718400,5823.0
442,1717804800,14736.0
443,1717891200,10988.0
444,1717977600,9530.0
445,1718064000,14057.0
446,1718150400,16502.0
447,1718236800,10961.0
448,1718323200,10500.0
449,1718409600,12059.0
450,1718496000,10204.0
451,1718582400,10552.0
452,1718668800,55638.0
453,1718755200,25193.0
454,1718841600,13605.0
455,1718928000,17214.0
456,1719014400,10211.0
457,1719100800,7537.0
458,1719187200,6869.0
459,1719273600,8995.0
460,1719360000,7506.0
461,1719446400,7765.0
462,1719532800,6691.0
463,1719619200,5965.0
464,1719705600,5259.0
465,1719792000,5347.0
466,1719878400,5620.0
467,1719964800,4629.0
468,1720051200,5308.0
469,1720137600,5708.0
470,1720224000,6329.0
471,1720310400,3687.0
472,1720396800,4150.0
473,1720483200,5976.0
474,1720569600,5661.0
475,1720656000,5740.0
476,1720742400,5710.0
477,1720828800,5514.0
478,1720915200,6684.0
479,1721001600,7372.0
480,1721088000,2563.0
481,1721174400,18326.0
482,1721260800,11446.0
483,1721347200,8208.0
